Country,Category,Description,Units,Year,Month,Quantity,Value,M2
Antigua and Barbuda,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,38,500,38
Antigua and Barbuda,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,15,692,15
Antigua and Barbuda,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,20,1440,20
Antigua and Barbuda,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,15,450,15
Argentina,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,1561,25878,1561
Argentina,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,1918,33062,1918
Argentina,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,12142,80676,12142
Argentina,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,4347,27348,4347
Argentina,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,5800,75760,5800
Argentina,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,2969,22784,2969
Armenia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,32344,507985,32344
Armenia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,34038,567613,34038
Armenia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,20851,352878,20851
Armenia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,28810,482224,28810
Armenia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,40399,833937,40399
Armenia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,39091,897263,39091
Aruba,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,57,1399,57
Australia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,89867,1418150,89867
Australia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,102917,1209438,102917
Australia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,158685,1927452,158685
Australia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,191219,1872842,191219
Australia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,417910,2786752,417910
Australia,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,337668,2114933,337668
Austria,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,25769,379752,25769
Austria,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,43436,581705,43436
Austria,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,73316,891785,73316
Austria,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,14120,382115,14120
Austria,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,43639,472371,43639
Austria,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,45556,514568,45556
Azerbaijan,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,38,283,38
Azerbaijan,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,76,566,76
Azerbaijan,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,15,584,15
Azerbaijan,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,4,107,2353,107
Azerbaijan,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,5,92,3207,92
Azerbaijan,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,6,152,3131,152
Bahamas,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,1,112,2880,112
Bahamas,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,2,186,3346,186
Bahamas,1,M2 TOTAL APPAREL IMPORTS (MFA),SME,2026,3,217,3582,217
